Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Ilman lämpötila keskiarvo [°C],Suhteellinen kosteus keskiarvo [%],Sademäärä keskiarvo [mm],Lumensyvyys keskiarvo [cm],Keskituulen nopeus keskiarvo [m/s]
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,01:00,4.5,97.5,0.0,0.0,7.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,02:00,4.6,97.4,0.0,0.0,8.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,03:00,4.6,96,0.0,0.0,9
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,04:00,4.5,94.6,0.0,0.0,9.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,05:00,4.4,95.1,0.0,0.0,8.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,06:00,4.4,92.1,0.0,0.0,9.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,07:00,4.6,89.9,0.0,0.0,9.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,08:00,4.7,91.1,0.0,0.0,9.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,09:00,4.7,91.1,0.0,0.0,9.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,10:00,4.5,90.4,0.0,0.0,10.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,11:00,4.5,88,0.0,0.0,10.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,12:00,4.4,91.8,0.0,0.0,10.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,13:00,4.3,94.9,0.02,0.0,11
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,14:00,4.2,98.9,0.0,0.0,11.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,15:00,4.1,100,0.02,0.0,11.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,16:00,4.5,100,0.03,0.0,11.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,17:00,4.9,100,0.05,0.0,10.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,18:00,5.2,100,0.02,0.0,9.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,19:00,4.9,93.9,0.0,0.0,8.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,20:00,4.3,99.1,0.0,0.0,7
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,21:00,4.1,95.9,0.0,0.0,7.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,22:00,3.4,86.7,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,23:00,2.6,76.2,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,00:00,2.0,64.8,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,01:00,1.0,63.4,0.0,0.0,5.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,02:00,0.0,64.3,0.0,0.0,4.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,03:00,0.0,64.5,0.0,0.0,5.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,04:00,1.7,70.9,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,05:00,2.0,77.8,0.02,0.0,5.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,06:00,1.5,85.8,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,07:00,0.7,84,0.0,0.0,5
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,08:00,0.9,76.8,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,09:00,0.4,74.7,0.0,0.0,4.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,10:00,0.2,72.6,0.0,0.0,4.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,11:00,0.5,72.8,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,12:00,1.0,70,0.0,0.0,6
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,13:00,1.6,67.6,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,14:00,2.0,69.6,0.0,0.0,6.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,15:00,2.4,71.5,0.0,0.0,6.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,16:00,1.7,86.8,0.0,0.0,8.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,17:00,1.2,93.6,0.0,0.0,5.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,18:00,2.3,69.9,0.0,0.0,8.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,19:00,2.2,67.7,0.0,0.0,8.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,20:00,1.7,67.9,0.0,0.0,7.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,21:00,1.5,65.8,0.0,0.0,8.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,22:00,1.1,70.2,0.0,0.0,8
Vantaa Helsinki-Vantaan lentoasema,2020,1,4,23:00,0.6,76.7,0.0,0.0,7.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,00:00,0.2,73.7,0.0,0.0,7.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,01:00,-0.3,69.9,0.0,0.0,7.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,02:00,-0.6,64.6,0.0,0.0,7.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,03:00,-0.8,63.5,0.0,0.0,6.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,04:00,-0.8,64.4,0.0,0.0,7.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,05:00,-0.3,64.2,0.0,0.0,8.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,06:00,-0.3,66.7,0.0,0.0,8.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,07:00,-0.5,67.7,0.0,0.0,8.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,08:00,-0.9,65.5,0.0,0.0,9
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,09:00,-1.3,66.7,0.0,0.0,7
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,10:00,-2.2,66,0.0,0.0,7.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,11:00,-2.5,63.2,0.0,0.0,7
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,12:00,-2.6,58.8,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,13:00,-2.5,55.6,0.0,0.0,4.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,14:00,-2.6,53,0.0,0.0,4.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,15:00,-2.9,53.3,0.0,0.0,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,16:00,-4.2,64.6,0.0,0.0,2.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,17:00,-5.1,70.9,0.0,0.0,0.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,18:00,-5.3,72.7,0.0,0.0,2.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,19:00,-6.3,81.3,0.0,0.0,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,20:00,-5.4,79.7,0.0,0.0,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,21:00,-4.0,70.9,0.0,0.0,3.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,22:00,-2.6,67.4,0.0,0.0,4
Vantaa Helsinki-Vantaan lentoasema,2020,1,5,23:00,-0.5,66.4,0.0,0.0,5.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,00:00,-0.4,91.2,0.08,0.0,7.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,01:00,-0.5,100,0.28,0.6,7.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,02:00,-0.1,100,0.23,3.8,9.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,03:00,0.0,100,0.17,5.6,9.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,04:00,0.3,100,0.12,5.8,8
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,05:00,0.5,100,0.03,6.0,5.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,06:00,0.6,100,0.0,6.0,3.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,07:00,0.5,100,0.0,6.0,2.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,08:00,0.7,100,0.0,6.0,3.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,09:00,0.8,100,0.0,6.0,3.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,10:00,0.7,100,0.0,6.0,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,11:00,0.8,100,0.0,6.0,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,12:00,0.8,100,0.0,5.9,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,13:00,0.8,100,0.0,5.4,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,14:00,0.7,100,0.0,5.0,3.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,15:00,0.7,100,0.0,5.0,3.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,16:00,0.6,100,0.0,4.9,3.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,17:00,0.5,100,0.0,4.0,2.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,18:00,0.3,100,0.0,4.0,3.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,19:00,0.3,100,0.0,4.0,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,20:00,0.4,100,0.0,4.0,1.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,21:00,1.1,100,0.0,4.0,3.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,22:00,1.5,100,0.0,4.0,2.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,6,23:00,2.1,100,0.02,3.8,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,00:00,2.9,100,0.02,3.0,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,01:00,3.2,100,0.0,2.3,4.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,02:00,3.5,100,0.0,1.5,5.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,03:00,3.4,100,0.0,1.2,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,04:00,3.5,100,0.0,0.0,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,05:00,3.5,100,0.0,0.0,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,06:00,3.6,100,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,07:00,3.6,100,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,08:00,3.8,100,0.0,0.0,5.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,09:00,3.9,100,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,10:00,4.1,100,0.0,0.0,5
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,11:00,4.4,100,0.0,0.0,4.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,12:00,4.7,100,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,13:00,4.8,100,0.0,0.0,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,14:00,5.1,100,0.0,0.0,5.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,15:00,5.1,100,0.0,0.0,6
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,16:00,4.8,100,0.0,0.0,6.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,17:00,4.3,100,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,18:00,4.2,100,0.03,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,19:00,4.0,100,0.0,0.0,5.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,20:00,4.1,100,0.07,0.0,6.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,21:00,4.0,100,0.0,0.0,6.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,22:00,4.3,100,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,7,23:00,4.5,100,0.0,0.0,6.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,00:00,4.5,100,0.0,0.0,8.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,01:00,4.4,100,0.0,0.0,9.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,02:00,4.4,100,0.0,0.0,9.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,03:00,4.4,100,0.0,0.0,9.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,04:00,4.5,100,0.0,0.0,10
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,05:00,4.6,100,0.0,0.0,10.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,06:00,4.4,100,0.0,0.0,11.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,07:00,4.4,100,0.07,0.0,10.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,08:00,4.8,100,0.0,0.0,11.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,09:00,5.0,98.2,0.0,0.0,12.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,10:00,4.5,100,0.07,0.0,12.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,11:00,4.5,100,0.35,0.0,12
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,12:00,5.1,100,0.03,0.0,12.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,13:00,5.3,100,0.03,0.0,12.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,14:00,5.4,100,0.02,0.0,11
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,15:00,5.7,100,0.0,0.0,10
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,16:00,5.8,100,0.03,0.0,10.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,17:00,5.9,100,0.02,0.0,11.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,18:00,6.4,100,0.0,0.0,10.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,19:00,7.0,100,0.0,0.0,9.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,20:00,7.0,97.9,0.0,0.0,8.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,21:00,6.8,93.8,0.0,0.0,8.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,22:00,5.8,95.1,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,8,23:00,4.6,99.5,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,00:00,3.6,100,0.0,0.0,4.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,01:00,3.5,98.2,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,02:00,3.2,95.6,0.0,0.0,5.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,03:00,2.6,94.3,0.0,0.0,5.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,04:00,2.2,93,0.0,0.0,6.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,05:00,2.4,89.6,0.0,0.0,6.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,06:00,2.4,87.9,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,07:00,2.3,88.2,0.0,0.0,6.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,08:00,2.0,91.1,0.0,0.0,6.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,09:00,2.0,89.6,0.0,0.0,5.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,10:00,2.2,88,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,11:00,2.6,84.7,0.0,0.0,7
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,12:00,3.1,81.4,0.0,0.0,7.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,13:00,3.4,78.7,0.0,0.0,6.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,14:00,3.4,77.6,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,15:00,2.9,80.8,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,16:00,1.9,86.1,0.0,0.0,4.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,17:00,1.4,88.9,0.0,0.0,4.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,18:00,1.3,89.7,0.0,0.0,5
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,19:00,0.6,93.1,0.0,0.0,4.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,20:00,0.2,95.2,0.0,0.0,4.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,21:00,-0.3,97.6,0.0,0.0,3.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,22:00,-1.3,100,0.0,0.0,3.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,9,23:00,-1.1,100,0.0,0.0,3.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,00:00,-1.7,100,0.0,0.0,3.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,01:00,-1.9,100,0.0,0.0,3
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,02:00,-2.1,100,0.0,0.0,2.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,03:00,-1.8,100,0.0,0.0,2.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,04:00,-2.5,100,0.0,0.0,2.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,05:00,-3.2,100,0.0,0.0,1.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,06:00,-3.5,100,0.0,0.0,1.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,07:00,-3.3,100,0.0,0.0,1.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,08:00,-3.5,100,0.0,0.0,1.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,09:00,-3.1,100,0.0,0.0,1.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,10:00,-3.8,100,0.0,0.0,1.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,11:00,-3.2,100,0.0,0.0,2.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,12:00,-2.0,100,0.0,0.0,1.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,13:00,-1.5,100,0.0,0.0,1.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,14:00,-0.7,99,0.0,0.0,1.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,15:00,-0.9,98.3,0.0,0.0,1.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,16:00,-1.8,99.5,0.0,0.0,2.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,17:00,-2.3,100,0.0,0.0,1.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,18:00,-2.5,99.9,0.0,0.0,1.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,19:00,-3.4,100,0.0,0.0,1.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,20:00,-4.1,100,0.0,0.0,1.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,21:00,-4.8,100,0.0,0.0,2.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,22:00,-5.3,100,0.0,0.0,2.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,10,23:00,-5.4,100,0.0,0.0,2
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,00:00,-5.3,99.9,0.0,0.0,2.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,01:00,-5.4,100,0.0,0.0,2.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,02:00,-5.8,100,0.0,0.0,3.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,03:00,-6.2,100,0.0,0.0,2.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,04:00,-5.9,100,0.0,0.0,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,05:00,-5.8,99.5,0.0,0.0,3
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,06:00,-6.2,99.7,0.0,0.0,2.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,07:00,-6.2,100,0.0,0.0,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,08:00,-6.2,100,0.0,0.0,3
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,09:00,-5.7,100,0.0,0.0,2.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,10:00,-5.2,100,0.0,0.0,3.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,11:00,-3.9,100,0.0,0.0,2.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,12:00,-2.2,100,0.0,0.0,3.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,13:00,-0.6,100,0.0,0.0,4
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,14:00,-0.1,99.9,0.0,0.0,3.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,15:00,0.3,98.4,0.0,0.0,4.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,16:00,1.1,94.2,0.0,0.0,4.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,17:00,2.1,91.7,0.0,0.0,6.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,18:00,2.9,85.6,0.0,0.0,9.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,19:00,2.7,93.3,0.0,0.0,9.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,20:00,2.6,96.7,0.0,0.0,9.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,21:00,2.9,93,0.0,0.0,10.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,11,22:00,2.5,99.5,0.1,0.0,11.6
